repo,url,stars,language,description,snapshot
prismhq/jev-router,https://github.com/prismhq/jev-router,2,Python,"Open-source LLM router that uses TypeSafe's Jev to pick a model, on top of LiteLLM.",2026-09-19
tedliou/decision-model-playground,https://github.com/tedliou/decision-model-playground,1,Python,A local playground for comparing Laya and Jev decision models with article recommendations.,2026-09-19
Mandrilsquad1441/jev-model-router,https://github.com/Mandrilsquad1441/jev-model-router,1,TypeScript,"Pick the best AI model and reasoning effort for any task in ~1s. Plugin for Claude Code, Claude Desktop and Codex, powered by TypeSafe's Jev decision model and live OpenRouter pricing. Balance intelligence, speed and cost, or choose your priority.",2026-09-19
TokenTrim/jev-routing-experiment,https://github.com/TokenTrim/jev-routing-experiment,1,Python,Benchmarking TypeSafe's Jev decision model as a cost-efficient LLM router on RouterArena.,2026-09-19
thezem/jev-one,https://github.com/thezem/jev-one,1,TypeScript,"A vocabulary-driven TypeScript runtime for safe, stateful applications powered by TypeSafe AI Jev.",2026-09-19
ItisShikhar/gg-friggin-ez,https://github.com/ItisShikhar/gg-friggin-ez,1,TypeScript,"Fast, drop-in profanity and toxicity screener for Node.js, powered by TypeSafe AI Jev. Catches leetspeak, character spacing, and romanized profanity across languages including Kannada, Telugu, Tamil, Hindi, and Bengali. ~50-500ms latency.",2026-09-19
siddicky/omp-typesafe,https://github.com/siddicky/omp-typesafe,1,TypeScript,TypeSafe AI (Jev) adversarial reviewer and typesafe_ask tool for the omp coding agent.,2026-09-19
AkashPriyadarshii/jev-scout,https://github.com/AkashPriyadarshii/jev-scout,1,Rust,Zero-hallucination open-source repo and crate scout powered by TypeSafe AI Jev System One scoring.,2026-09-19
AkashPriyadarshii/jev-git,https://github.com/AkashPriyadarshii/jev-git,1,Rust,Sub-second Git pre-commit & pre-push semantic reflex gate powered by TypeSafe AI Jev.,2026-09-19
kitze/pagegrade,https://github.com/kitze/pagegrade,1,TypeScript,"Grade page sections for clarity, writing and on-page SEO. WXT + TypeSafe AI Jev.",2026-09-19
sontakey/awesome-jev,https://github.com/sontakey/awesome-jev,1,Python,Unofficial list of insanely useful TypeSafe AI Jev / System One projects.,2026-09-19
BYK/jev-mcp,https://github.com/BYK/jev-mcp,1,TypeScript,"An eval-first MCP server for TypeSafe's Jev, a System One model that returns typed judgments (noul, choice, score) with probabilities instead of generated text.",2026-09-19
TokenTrim/jev-agent-failure-benchmark,https://github.com/TokenTrim/jev-agent-failure-benchmark,1,Python,Benchmarking Jev (Typesafe.ai) against a strong LLM on the Who&When Pro agent-failure-attribution benchmark (text subset).,2026-09-19
rsdkrasen/hermes-jev-router,https://github.com/rsdkrasen/hermes-jev-router,1,Python,"TypeSafe/Jev router plugin for Hermes Agent , compact tool results, suppress duplicate tools, skip unnecessary main-model calls.",2026-09-19
TheEleventhAvatar/triage-bot,https://github.com/TheEleventhAvatar/triage-bot,1,TypeScript,"Real-time support triage + response bot Jev routes the ticket to a specialist agent (general / account / billing / technical) and decides whether a human should take it instead , all as typed data, no text to parse. Cerebras then drafts the reply using whichever agent Jev picked. The script times both calls separately so you can see the split.",2026-09-19
vinilana/jev-gateway-bench,https://github.com/vinilana/jev-gateway-bench,1,JavaScript,"Benchmark for jev-gateway: real coding agents on chess engine tasks, with Jev routing on and off.",2026-09-19
kylemclaren/jevpdf,https://github.com/kylemclaren/jevpdf,1,TypeScript,Ask a PDF in your own words and watch the matching lines light up. React + pdf.js + TypeSafe Jev.,2026-09-23
hyspacex/jev-router,https://github.com/hyspacex/jev-router,0,Python,"Route OpenAI-style chat requests to a model and reasoning effort, using TypeSafe's Jev decision model as the classifier.",2026-09-19
vinaychawla-ops/jev-openrouter-example,https://github.com/vinaychawla-ops/jev-openrouter-example,0,Python,Minimal example: call TypeSafe's Jev decision model via OpenRouter's Decisions API (stdlib-only Python).,2026-09-19
avshalomd/longjev,https://github.com/avshalomd/longjev,0,Python,Long inputs for TypeSafe AI's Jev decision model. An experiment.,2026-09-19
bebe0307mz/jevs-kitchen-chaos,https://github.com/bebe0307mz/jevs-kitchen-chaos,0,TypeScript,"3D Overcooked-style AI benchmark: four chefs driven per-decision by the Jev decision model or frontier LLMs (BYOK). Live broadcast HUD, pure benchmark mode, downloadable decision logs.",2026-09-19
souvikr/jev-test,https://github.com/souvikr/jev-test,0,Python,Test harness + benchmark for TypeSafe's Jev decision model (noul/choice/score) via OpenRouter's Decisions API.,2026-09-19
jaysonsantos/sudoku-jev,https://github.com/jaysonsantos/sudoku-jev,0,TypeScript,Sudoku game played by the TypeSafe Jev decision model through OpenRouter.,2026-09-19
andreaserradev-gbj/jev-access-day,https://github.com/andreaserradev-gbj/jev-access-day,0,TypeScript,"A learning scaffold for TypeSafe AI's System One models: eval harness plus a measured, plain-language comparison of the Jev decision model vs an LLM stand-in on 24 real operational decisions. All numbers reproducible from committed run files.",2026-09-19
realdubb/jev-playground,https://github.com/realdubb/jev-playground,0,TypeScript,"Playground for TypeSafe AI's Jev decision model: provider-agnostic AI SDK scripts, jev-filter CLI, GitHub pruner.",2026-09-19
octanevz/jev-playground-openrouter,https://github.com/octanevz/jev-playground-openrouter,0,JavaScript,Local browser playground for TypeSafe's Jev decision model via OpenRouter. Python stdlib only.,2026-09-19
sebastianbugal/jev,https://github.com/sebastianbugal/jev,0,JavaScript,"TypeSafe's Jev decision model in Claude Code. Ask in plain language, get a typed answer with a calibrated probability.",2026-09-19
affirmitv/bitrate-advisor,https://github.com/affirmitv/bitrate-advisor,0,TypeScript,"Live-stream encoder settings from telemetry and history: TypeSafe's Jev decision model inside a deterministic safety envelope. Deno, Node, edge runtimes.",2026-09-19
metrox-eth/moss-jev,https://github.com/metrox-eth/moss-jev,0,JavaScript,MOSS × Jev: a recorded-run 3D demo of the litter-picking rover choosing targets with TypeSafe's Jev decision model.,2026-09-19
shantanugoel/tetris-ai,https://github.com/shantanugoel/tetris-ai,0,JavaScript,"Browser Tetris with a first-class AI API: play it with a built-in planning agent, TypeSafe's Jev decision model, or any OpenAI-compatible chat model.",2026-09-19
chensterman/talos,https://github.com/chensterman/talos,0,TypeScript,"A Minecraft agent with no LLM in the loop: code owns the plan, TypeSafe's Jev decision model supplies per-tick judgment.",2026-09-19
russfranky/jev-crawlers,https://github.com/russfranky/jev-crawlers,0,JavaScript,"Recursive bug-discovery crawlers powered by Jev: Unix-style primitives (seed, expand, judge, verify, report) with per-node typed judgments from typesafe-ai/jev.",2026-09-19
ngallodev-software/agent-workflow-typesafe-ai,https://github.com/ngallodev-software/agent-workflow-typesafe-ai,0,Python,"Optional TypeSafe AI/Jev advisory decision evidence for Agent-Workflow, without transferring lifecycle authority from deterministic orchestration.",2026-09-19
zzsong1023/jev-market-reflex,https://github.com/zzsong1023/jev-market-reflex,0,TypeScript,Fast typed AI decisions on live crypto markets using TypeSafe AI Jev.,2026-09-19
phuhao00/jev-behavior-tree,https://github.com/phuhao00/jev-behavior-tree,0,HTML,Game intuition service that uses typesafe-ai/jev instead of a behavior tree.,2026-09-19
EthanThatOneKid/zocomputer-jev,https://github.com/EthanThatOneKid/zocomputer-jev,0,,A Zo skill for situational script writing and execution using Vercel AI Gateway and TypeSafe AI Jev.,2026-09-19
kijung4290/gmail-mail-triage,https://github.com/kijung4290/gmail-mail-triage,0,JavaScript,로컬 전용 Gmail 긴급도·광고·답변 필요 여부 분류 대시보드 · TypeSafe AI JEV.,2026-09-19
ctaxnagomi/instruct-jev,https://github.com/ctaxnagomi/instruct-jev,0,Python,"INSTRUCT_JEV - TypeSafe AI Jev / System One instruction corpus (choice/noul/score), compiled by DeckerGUI. 119 rows. Mirrored on HuggingFace.",2026-09-19
kijung4290/maeum-on-attendance-care,https://github.com/kijung4290/maeum-on-attendance-care,0,JavaScript,어르신 프로그램 출석 위험 모니터링 대시보드 · TypeSafe AI JEV 연동.,2026-09-19
kyledickey/jev-go,https://github.com/kyledickey/jev-go,0,,TypeSafe.ai Jev Go SDK.,2026-09-19
lookfwd/jev-fact-checker,https://github.com/lookfwd/jev-fact-checker,0,TypeScript,Uses Typesafe AI Jev to Provide A Tweet Fact Checker.,2026-09-19
jason-allen-oneal/openclaw-plugin-typesafe-ai,https://github.com/jason-allen-oneal/openclaw-plugin-typesafe-ai,0,TypeScript,"TypeSafe AI (Jev System One) plugin for OpenClaw - sub-100ms group triage, tool safety guardrails, compaction curation, and model routing.",2026-09-19
rchovatiya88/cyber-breach-jev,https://github.com/rchovatiya88/cyber-breach-jev,0,JavaScript,Cyber-Breach: The Jev Protocol - A tactical cyberpunk arena combat game powered by TypeSafe AI Jev System One decision model.,2026-09-19
ozzy2438/apply-os,https://github.com/ozzy2438/apply-os,0,,"Apply OS , Personal career decision engine powered by TypeSafe AI (Jev). Ranks job postings, drafts applications, and automates the pipeline with typed, calibrated decisions. Agency-ready build spec included.",2026-09-19
jeiel85/jevscope,https://github.com/jeiel85/jevscope,0,TypeScript,Local-first visual decision debugger and regression testbench for TypeSafe AI Jev.,2026-09-19
ozzy2438/personal-decision-inbox,https://github.com/ozzy2438/personal-decision-inbox,0,,"Agency-ready build prompt for a Personal Decision Inbox powered by TypeSafe AI (Jev). Full end-to-end spec: architecture, UI, integrations, deployment.",2026-09-19
NicolasMontone/jev-evals,https://github.com/NicolasMontone/jev-evals,0,TypeScript,"Rubric-based eval harness cheap enough to run on every PR, powered by typesafe-ai/jev.",2026-09-19
Ayush0054/metis,https://github.com/Ayush0054/metis,0,Python,Metis: automatic GitHub issue triage powered by TypeSafe AI Jev. A reusable GitHub Action.,2026-09-19
colinmcdermott/emoji-jev,https://github.com/colinmcdermott/emoji-jev,0,TypeScript,Emoji autocomplete at the speed of typing. TypeSafe AI Jev on a Whop-hosted TanStack Start app.,2026-09-19
vkpdeveloper/mrsecret,https://github.com/vkpdeveloper/mrsecret,0,TypeScript,"Mr. Secret , blurs secrets & PII on any page using TypeSafe AI Jev.",2026-09-19
TyrellD1/typesafe-ai_smoke-test,https://github.com/TyrellD1/typesafe-ai_smoke-test,0,HTML,"Smoke test: route prompts to a work or life database with TypeSafe AI (Jev), 30-case eval.",2026-09-19
bitnovus/jev-spam-eval,https://github.com/bitnovus/jev-spam-eval,0,Jupyter Notebook,"Zero-shot spam filtering with TypeSafe Jev Noul questions, compared with TF-IDF baselines.",2026-09-19
sypherin/jev-trace-classifier,https://github.com/sypherin/jev-trace-classifier,0,Python,"Application of TypeSafe Jev (noul judgment primitive) on the collusion.wiki corpus: agent vs human page authorship, head-to-head vs local Qwen3.8-Flash-Next.",2026-09-19
ctmx/openrouter-jev-mcp,https://github.com/ctmx/openrouter-jev-mcp,0,Python,High-speed System One Jev AI decision gateway and MCP server powered by OpenRouter.,2026-09-19
andyholst/hermes-typesafe-jev,https://github.com/andyholst/hermes-typesafe-jev,0,Python,"TypeSafe Jev MCP server for Hermes Agent , Choice, Noul, Score as first-class tools.",2026-09-19
codaaiteam/jev-mcp,https://github.com/codaaiteam/jev-mcp,0,JavaScript,"MCP server for Jev (TypeSafe AI's System One model) , give any agent typed, calibrated decisions: classify, score, check, gate risky tool calls. Try free: jevtypesafeai.com.",2026-09-19
AStheTECH/mewcp-jev,https://github.com/AStheTECH/mewcp-jev,0,Python,JEV MCP server by MewCP.,2026-09-19
cbruyndoncx/AskJev-MCP,https://github.com/cbruyndoncx/AskJev-MCP,0,JavaScript,MCP server for TypeSafe's System One API (Jev): typed choice/noul/score judgments with calibrated probabilities and confidence.,2026-09-19
minhgv/jev-mcp,https://github.com/minhgv/jev-mcp,0,TypeScript,TypeSafe Jev MCP decision layer for coding agents and CI.,2026-09-19
hangarbay/jev.mcp,https://github.com/hangarbay/jev.mcp,0,Go,"One MCP server for TypeSafe's Jev: typed, calibrated decisions instead of generated text.",2026-09-19
yuyang2230/jev-agent-skill,https://github.com/yuyang2230/jev-agent-skill,0,Python,Free typed judgments for AI agents: offload classify/screen/score/verify to Jev (TypeSafe System One) via OpenCode Zen. Claude Code / ZCode skill. 给AI代理省token的免费决策分流技能.,2026-09-19
reiswaffel78/jev-agent-toolkit,https://github.com/reiswaffel78/jev-agent-toolkit,0,JavaScript,"Jev-first portable Agent Skill and optional MCP bridge for Claude Code, Codex, Cursor and compatible agents.",2026-09-19
michael54/jev-agent-lab,https://github.com/michael54/jev-agent-lab,0,Python,Jev agent experiments and reproducible SemIf deployment on Runpod.,2026-09-19
MrDiamondBallz/jev-agent-integration,https://github.com/MrDiamondBallz/jev-agent-integration,0,Python,"Provider-neutral Jev decision primitives for AI agents, with a native Hermes plugin and portable Agent Skill.",2026-09-19
nandansrikrishna/jev-agent-tool,https://github.com/nandansrikrishna/jev-agent-tool,0,Python,"Bring-your-own-key CLI, Python API, and MCP server for typed judgments with TypeSafe Jev.",2026-09-19
knowlet/jev-agentworld-web-simulator,https://github.com/knowlet/jev-agentworld-web-simulator,0,TypeScript,"An entire internet , search, pages & links , hallucinated on the fly by the System One Model.",2026-09-19
TranBaVinhSon/jev-agent-compaction,https://github.com/TranBaVinhSon/jev-agent-compaction,0,,"Using the Jev model to compact agent tool logs. Supports integration with the Claude Agent SDK, the OpenAI Agent SDK, and more.",2026-09-19
Clawbuilders/web-qa-jev-agent,https://github.com/Clawbuilders/web-qa-jev-agent,0,TypeScript,"Crawls a site with Cloudflare Browser Rendering, triages with typesafe/jev, confirms with vision, files deduped GitHub Issues.",2026-09-19
jpanasuk-netizen/15-min-BTC-JAP,https://github.com/jpanasuk-netizen/15-min-BTC-JAP,0,Python,"15-min BTC JAP , Jev Agent Protocol for Kalshi BTC 15m YES/NO.",2026-09-19
kevin9327/jev-harness,https://github.com/kevin9327/jev-harness,0,Python,JevHarness: TypeSafe Jev agent tool-call gate. execute / confirm / reject in code.,2026-09-19
rolki-png/JevArena,https://github.com/rolki-png/JevArena,0,TypeScript,Two Jev agents duel at Snake via Vercel AI Gateway.,2026-09-19
jal-co/jev-agent-browser,https://github.com/jal-co/jev-agent-browser,0,Python,Jev policy decisions executed through Agent Browser.,2026-09-19
ianlintner/jev-router,https://github.com/ianlintner/jev-router,0,,"Shadow-mode Jev decision adapter for model-routing comparisons, with Prometheus metrics and Grafana dashboards.",2026-09-19
ThyFriendlyFox/jev-triage,https://github.com/ThyFriendlyFox/jev-triage,0,Python,"Active-learning triage pipeline using TypeSafe Jev , route by confidence, log soft labels for local distillation.",2026-09-19
Loule95450/jev-free-router,https://github.com/Loule95450/jev-free-router,0,JavaScript,Dynamic per-turn model router on free OpenCode Zen + Go models (fork of gargpratyush/jev-router).,2026-09-19
boriscardano/herdr-jev-router,https://github.com/boriscardano/herdr-jev-router,0,,Mandatory Jev-based routing for Herdr-managed agent spawns.,2026-09-19
gmaxxxie/jev-router,https://github.com/gmaxxxie/jev-router,0,TypeScript,"Per-prompt model routing for Pi, driven by Jev (TypeSafe System One).",2026-09-19
flaviusapop/jev-router,https://github.com/flaviusapop/jev-router,0,JavaScript,"Routes each turn in Claude Code, Codex, Grok and opencode to the cheapest model and reasoning depth that can finish it, using TypeSafe Jev.",2026-09-19
EtienneLescot/jev-router,https://github.com/EtienneLescot/jev-router,0,HTML,"Typed judgments in, control flow out: two Jev calls route a support ticket to an agent, then pick its model tier and reasoning depth.",2026-09-19
islee23520/omo-jevlike-router,https://github.com/islee23520/omo-jevlike-router,0,Python,"Jev-style one-pass skill router for OmO: shrink the skill catalog in your system prompt with one forward pass (frozen Qwen2.5-0.5B + jevlike head, fail-open extension).",2026-09-19
gloridifice/pi-jev-router,https://github.com/gloridifice/pi-jev-router,0,TypeScript,Jev model integration for pi coding agent.,2026-09-19
aruniyer/jevcoder,https://github.com/aruniyer/jevcoder,0,TypeScript,Jev-routed Pi coding agent with cache-stable execution and SWE-bench Verified experiments.,2026-09-19
carllippert/jev-router,https://github.com/carllippert/jev-router,0,TypeScript,Express with no routes. TypeSafe Jev picks which handler runs.,2026-09-19
hugo-alves/jev-router-playground,https://github.com/hugo-alves/jev-router-playground,0,JavaScript,Interactive playground for testing Jev model-routing decisions against OpenRouter models.,2026-09-19
MoonTory/pi-jev-harness,https://github.com/MoonTory/pi-jev-harness,0,TypeScript,"Pi extension: TypeSafe Jev routes turns, pre-fetches context, trims tool results, catches loops and guards tool calls.",2026-09-19
its-panzer/skilltree,https://github.com/its-panzer/skilltree,0,JavaScript,"A local-first skill library and visual skill tree, with Jev routing and MCP access.",2026-09-19
ussyverse/hermes-jev-router,https://github.com/ussyverse/hermes-jev-router,0,Python,Experimental Hermes plugin: Jev-assisted model routing plans with budget and capability constraints. API access pending.,2026-09-19
